file,smiles,Affinity
3fv1,C[NH2+][C@H]1[C@H]2O[C@@](C[C@H]([NH3+])C(=O)[O-])(C(=O)[O-])C[C@H]2OC[C@H]1O,5.85
3g0w,Cc1c(/N=C2\O[C@@H](C(F)(F)F)[C@@H]3[C@@H](O)CCN23)ccc(C#N)c1Cl,5.2
3g2n,O=C(N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,5.96
3g2z,O=C1C=C(Nc2nnn[nH]2)CCC1,3.78
3gbb,[NH3+][C@@H](C[C@]1(C(=O)[O-])C[C@H]2OCCC[C@H]2O1)C(=O)[O-],4.21
3gcs,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,6.83
3ge7,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,7.89
3gnw,Cc1cccc(C(=O)N2c3cccc(O)c3NC3=C([C@@H]2c2ccc(OCc4ccccc4)cc2F)S(=O)(=O)CC(C)(C)C3)n1,7.42
3gy4,Cc1cccc(C(=O)N2c3cccc(O)c3NC3=C([C@@H]2c2ccc(OCc4ccccc4)cc2F)S(=O)(=O)CC(C)(C)C3)n1,8.85
3huc,C=CC(=O)Nc1ccc2c(Nc3ccn[nH]3)nc(-c3ccccc3)nc2c1,2.23
3i3b,O=C1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,7.12
3imc,COc1ccc2[nH]ccc2c1,4.3
3ivg,COc1ccc2c(c1)cc(CNS(=O)(=O)c1cc3ccccc3o1)n2CC(=O)[O-],9
3jvs,CC(C)(C)c1ccc(C(=O)NNC(=O)Nc2cccc3ccccc23)cc1[N+](=O)[O-],4.89
3k5v,NC(=O)c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1,9.76
3kgp,[NH3+]Cc1ccc(C(=O)[O-])cc1,7.32
3kv2,N/C(=N\O)NCC[C@H]([NH3+])C(=O)[O-],8.43
3kwa,[NH3+]CCC[NH2+]CCCC[NH2+]CCC[NH3+],4.43
3l3n,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],9.46
3l4u,OC[C@@H]1[C@@H](O)[C@H](O)C[S@H]1C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,7.79
3l4w,OCC[N@@H+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,6.63
3l7b,[H]/N=c1\ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](F)[C@H]2O)c(=O)[nH]1,3.28
3lka,COc1ccc(S(N)(=O)=O)cc1,6.33
3mfv,Nc1ncc(CC[C@H]([NH3+])C(=O)[O-])[nH]1,8.18
3mss,CNC(=O)[C@@H]([NH3+])Cc1ccc(OCc2ccccc2)cc1,9.1
3muz,CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,7.35
3myg,CC[N@H+](Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)C(C)(C)CO,5.91
3n7a,O=C([O-])[C@]1(O)C=C[C@@H](O)[C@H](O)C1,6.24
3n86,O=C(CCC1=C[C@@](O)(C(=O)[O-])C[C@@H](O)[C@@H]1O)Nc1ccccc1,8.7
3nox,Cc1nc2nc(C(=O)N3CCOCC3)cn2c(-c2ccc(Cl)cc2Cl)c1C[NH3+],7.12
3nq3,CCCCCCCCCC(=O)[O-],4.37
3nw9,Cc1ncnc2c1ncn2[C@@H]1O[C@H](/C=C/CNC(=O)c2cc(-c3ccc(F)cc3)cc(O)c2O)[C@@H](O)[C@H]1O,8.35
3oe5,O=C(NC/C=C/[C@H]1O[C@@H](Sc2ccncc2)[C@H](O)[C@@H]1O)c1cc([N+](=O)[O-])cc(O)c1O,6
3ov1,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(N)=O)CC1,5.24
3owj,Cc1c2cc[nH]c(=O)c2c(C)c2c1[nH]c1ccc(O)cc12,2.36
3ozt,O=C(NC/C=C/[C@H]1O[C@@H](n2ccc(=O)cc2)[C@H](O)[C@@H]1O)c1cc([N+](=O)[O-])cc(O)c1O,3.18
3pe2,C#Cc1cccc(Nc2nc3cc(C(=O)[O-])ccc3c3cncnc23)c1,6.87
3pww,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@@H+]1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,2.82
3pxf,O=S(=O)([O-])c1cccc2cccc(Nc3ccccc3)c12,4.22
3s8o,CC(=O)N[C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)NC1(C(=O)N[C@@H](CC(N)=O)C(N)=O)CCCCC1,8.63
3su2,CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)n3cc4cccc(F)c4c3)CN2C1=O,8.7
3su3,CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3cn(cc13)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,8.7
3su5,CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3cn(cc13)C(=O)O2)C(=O)NS(=O)(=O)C1CC1,5.22
3u9q,CCCCCCCCCC(=O)[O-],4.08
3udh,O=C1Nc2ccccc2[C@]12CC[NH2+]C2,7.14
3ueu,CCCCCCCCCCCC(=O)[O-],6.39
3uex,CCCCCCCCCCCCCCCCCC(=O)[O-],7.4
3uo4,O=C([O-])c1ccc(Nc2nccc(Nc3ccccc3-c3ccccc3)n2)cc1,3.7
3uri,CSCC[C@H]([NH2+]C[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC[NH2+]1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)[O-],7.25
3utu,CSCC[C@H]([NH2+]C[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC[NH2+]1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)[O-],7.25
3vd4,CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,6.72
3vh9,Oc1cccc2cccnc12,4.19
3zso,C=CC[N@H+](Cc1ccccc1C(=O)NC(c1ccc(OC)cc1)c1ccc(OC)cc1)Cc1ccc2c(c1C(=O)[O-])OCO2,6.85
3zsx,C=CC[N@H+](Cc1ccccc1C(=O)NCc1ccccc1)Cc1ccc2c(c1C(=O)[O-])OCO2,6.68
4de1,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1ccc2n[nH]cc2c1,3.66
4de2,C[NH+](C)Cc1cccc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)c1,5.99
4des,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,8.3
4dew,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,4.6
4djr,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCC(=O)N1)S(=O)(=O)c1ccc2ncsc2c1,6.92
4djv,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCC(=O)N1)S(=O)(=O)c1ccc2ncsc2c1,8.11
4g8m,[NH3+][C@H](C(=O)[O-])[C@@H]1CC[C@@H]1C(=O)[O-],7.8
4gid,CC(C)CNC(=O)[C@@H]([NH2+]C[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@@H](C)O,2.89

